accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_442247	Mexico	NA	Cucurbita moschata	Vines. Fruits light tan, slightly green mottled, 16cm long, 18cm diam. Local name Calabasa.	NA	NA	South/Latin America	0.032745	1e-5	1e-5	0.886444	0.080781	1e-5	3	161
PI_438770	Mexico	HW 0179	Cucurbita moschata	Fruit short club shaped, ribbed, neck 11.5cm diam., 15cm long, body 23cm diam.,  13cm long.	NA	NA	South/Latin America	1e-5	0.245095	1e-5	0.139861	1e-5	0.615014	1	283
PI_438743	Mexico	HW 0179	Cucurbita moschata	Fruit large, curved, club-shaped, ribbed, pale tan, 15cm diam., 45cm long. Rind  hard. Flesh thin, dark orange.	NA	NA	South/Latin America	1e-5	0.093746	1e-5	0.002833	1e-5	0.903391	1	239
PI_438772	Mexico	HW 0179	Cucurbita moschata	Fruit globose, smooth, striped and reticulated dark green, 20cm long.	NA	NA	South/Latin America	1e-5	0.42264	0.012191	0.132401	1e-5	0.432748	1	286
PI_438773	Mexico	HW 0179	Cucurbita moschata	Fruit flattened globose, deeply ribbed, buff, 20cm diam.	NA	NA	South/Latin America	1e-5	0.204398	1e-5	0.014959	1e-5	0.780613	1	236
PI_438775	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.066248	1e-5	0.531246	1e-5	0.402476	1	279
PI_438776	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.037954	0.006254	0.395395	1e-5	0.560377	1	280
PI_438777	Mexico	HW 0179	Cucurbita moschata	Seeds large.	NA	NA	South/Latin America	1e-5	0.179185	0.020296	0.571694	1e-5	0.228805	3	182
PI_438778	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.040864	0.011986	0.04089	1e-5	0.90624	1	246
PI_438779	Mexico	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.045358	0.024075	0.885882	0.015478	0.029198000000000002	3	149
PI_438756	Mexico	HW 0179	Cucurbita moschata	Fruit oblate, deeply lobed, warty, 25cm diam.	NA	NA	South/Latin America	1e-5	0.013961	1e-5	0.005907	0.027993	0.952118	1	271
PI_442280	Mexico	NA	Cucurbita moschata	Fruits tan, dark green mottling, slight bloom, Canadian Crookneck shape, 31cm long, 13cm diam.	NA	NA	South/Latin America	1e-5	0.128468	0.017726	0.853776	1e-5	1e-5	3	160
