country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_438786	HW 0179	Cucurbita moschata	Fruit depressed globose, ribbed. Rind hard, mottled tan and orange, 36cm wide,  20cm long.	NA	"NA"	South/Latin America
Mexico	PI_442287	NA	Cucurbita moschata	Fruits deep orange, elongate, 32cm long, 12cm diam. Placenta greenish-brown. Flesh deep orange. Local name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_511954	Segualca.	Cucurbita moschata	Sown in June and July, harvested in October and November. Cook mature fruit as a sweet.	NA	Landrace	South/Latin America
Mexico	PI_442265	NA	Cucurbita moschata	Fruits green with white stripes, bell-shaped, 21cm long, 17.5cm diam. Local name Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_512146	Chinche	Cucurbita moschata	Seeds white with tan margin. Said to be produced at high elevation in the state of Mexico.	NA	Cultivated material	South/Latin America
Mexico	PI_634698	Tamalajote	Cucurbita moschata	Pepos obtained from Blas Lucano Diaz. Planted with maize in early May. N.V. Tamalajota.	NA	Cultivated material	South/Latin America
Mexico	PI_634699	Tamalajote	Cucurbita moschata	Pepos obtained from Sr. Juan Bailon, Avenida Revolucion	NA	NA	South/Latin America
Mexico	PI_442289	NA	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Mexico	PI_512151	Pepita menuda	Cucurbita moschata	Seeds small, white with tan margin.	NA	Cultivated material	South/Latin America
Mexico	PI_512161	Calabaza de castilla.	Cucurbita moschata	Two fruits flask-shaped with waxy dark green rind.	NA	Cultivated material	South/Latin America
Mexico	PI_442267	NA	Cucurbita moschata	Local name Calabaza de Castilla.	NA	"NA"	South/Latin America
Mexico	PI_512150	Calabaza de tamala.	Cucurbita moschata	Single fruit large, club-shaped with tan rind and bright orange flesh.	NA	Cultivated material	South/Latin America
Mexico	PI_442285	NA	Cucurbita moschata	Fruits tan, dark-tan mottled, necked pyriform, 15.4cm long, 15cm diam. Local  name Calabaza criolla.	NA	"NA"	South/Latin America
Mexico	PI_511951	Segualca.	Cucurbita moschata	Fruits diverse in shape. Sown in July, harvested in October and November. Cook mature flesh as a sweet, toast and eat seeds. Sample donated by Manuel Pina Corrales.	NA	Landrace	South/Latin America
